Symbol,Name,Sector
PVH,PVH Corp.,Consumer Discretionary
QRVO,Qorvo,Information Technology
QCOM,QUALCOMM Inc.,Information Technology
PWR,Quanta Services Inc.,Industrials
DGX,Quest Diagnostics,Health Care
RRC,Range Resources Corp.,Energy
RTN,Raytheon Co.,Industrials
O,Realty Income Corporation,Real Estate
RHT,Red Hat Inc.,Information Technology
REG,Regency Centers Corporation,Real Estate
REGN,Regeneron,Health Care
RF,Regions Financial Corp.,Financials
RSG,Republic Services Inc,Industrials
RAI,Reynolds American Inc.,Consumer Staples
RHI,Robert Half International,Industrials
ROK,Rockwell Automation Inc.,Industrials
COL,Rockwell Collins,Industrials
ROP,Roper Industries,Industrials
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
R,Ryder System,Industrials
SPGI,"S&P Global, Inc.",Financials
CRM,Salesforce.com,Information Technology
SCG,SCANA Corp,Utilities
SLB,Schlumberger Ltd.,Energy
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary
STX,Seagate Technology,Information Technology
SEE,Sealed Air,Materials
SRE,Sempra Energy,Utilities
SHW,Sherwin-Williams,Materials
SIG,Signet Jewelers,Consumer Discretionary
SPG,Simon Property Group Inc,Real Estate
SWKS,Skyworks Solutions,Information Technology
SLG,SL Green Realty,Real Estate
SNA,Snap-On Inc.,Consumer Discretionary
SO,Southern Co.,Utilities
LUV,Southwest Airlines,Industrials
SWN,Southwestern Energy,Energy
SWK,Stanley Black & Decker,Consumer Discretionary
SPLS,Staples Inc.,Consumer Discretionary
SBUX,Starbucks Corp.,Consumer Discretionary
STT,State Street Corp.,Financials
SRCL,Stericycle Inc,Industrials
SYK,Stryker Corp.,Health Care
STI,SunTrust Banks,Financials
SYMC,Symantec Corp.,Information Technology
SYF,Synchrony Financial,Financials
SYY,Sysco Corp.,Consumer Staples
TROW,T. Rowe Price Group,Financials
TGT,Target Corp.,Consumer Discretionary
TEL,TE Connectivity Ltd.,Information Technology
TGNA,"Tegna, Inc.",Consumer Discretionary
TDC,Teradata Corp.,Information Technology
TSO,Tesoro Petroleum Co.,Energy
TXN,Texas Instruments,Information Technology
TXT,Textron Inc.,Industrials
BK,The Bank of New York Mellon Corp.,Financials
CLX,The Clorox Company,Consumer Staples
COO,The Cooper Companies,Health Care
HSY,The Hershey Company,Consumer Staples
MOS,The Mosaic Company,Materials
TRV,The Travelers Companies Inc.,Financials
DIS,The Walt Disney Company,Consumer Discretionary
TMO,Thermo Fisher Scientific,Health Care
TIF,Tiffany & Co.,Consumer Discretionary
TWX,Time Warner Inc.,Consumer Discretionary
TJX,TJX Companies Inc.,Consumer Discretionary
TMK,Torchmark Corp.,Financials
TSS,Total System Services,Information Technology
TSCO,Tractor Supply Company,Consumer Discretionary
TDG,TransDigm Group,Industrials
RIG,Transocean,Energy
TRIP,TripAdvisor,Consumer Discretionary
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary
FOX,Twenty-First Century Fox Class B,Consumer Discretionary
TSN,Tyson Foods,Consumer Staples
USB,U.S. Bancorp,Financials
UDR,UDR Inc,Real Estate
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary
UA,Under Armour,Consumer Discretionary
UAA,Under Armour,Consumer Discretionary
UNP,Union Pacific,Industrials
UAL,United Continental Holdings,Industrials
UNH,United Health Group Inc.,Health Care
UPS,United Parcel Service,Industrials
URI,"United Rentals, Inc.",Industrials
UTX,United Technologies,Industrials
UHS,"Universal Health Services, Inc.",Health Care
UNM,Unum Group,Financials
URBN,Urban Outfitters,Consumer Discretionary
VFC,V.F. Corp.,Consumer Discretionary
VLO,Valero Energy,Energy
VAR,Varian Medical Systems,Health Care
VTR,Ventas Inc,Real Estate
VRSN,Verisign Inc.,Information Technology
VRSK,Verisk Analytics,Industrials
VZ,Verizon Communications,Telecommunications Services
VRTX,Vertex Pharmaceuticals Inc,Health Care
VIAB,Viacom Inc.,Consumer Discretionary
V,Visa Inc.,Information Technology
VNO,Vornado Realty Trust,Real Estate
VMC,Vulcan Materials,Materials
WMT,Wal-Mart Stores,Consumer Staples
WBA,Walgreens Boots Alliance,Consumer Staples
WM,Waste Management Inc.,Industrials
WAT,Waters Corporation,Health Care
WEC,Wec Energy Group Inc,Utilities
WFC,Wells Fargo,Financials
HCN,Welltower Inc.,Real Estate
WDC,Western Digital,Information Technology
WU,Western Union Co,Information Technology
WRK,WestRock Company,Materials
WY,Weyerhaeuser Corp.,Real Estate
WHR,Whirlpool Corp.,Consumer Discretionary
WFM,Whole Foods Market,Consumer Staples
WMB,Williams Cos.,Energy
WLTW,Willis Towers Watson,Financials
WYN,Wyndham Worldwide,Consumer Discretionary
WYNN,Wynn Resorts Ltd,Consumer Discretionary
XEL,Xcel Energy Inc,Utilities
XRX,Xerox Corp.,Information Technology
XLNX,Xilinx Inc,Information Technology
XL,XL Capital,Financials
XYL,Xylem Inc.,Industrials
YHOO,Yahoo Inc.,Information Technology
YUM,Yum! Brands Inc,Consumer Discretionary
ZBH,Zimmer Biomet Holdings,Health Care
ZION,Zions Bancorp,Financials
ZTS,Zoetis,Health Care
